"","op_code","site_full","site_code","type","geog","date","day","month","year","bruv","period_time_hms","time","minute","second","visibility","habitat","subclass","family","scientific_name","genus","species","common","code","sp_code","number","comment_1","x_6","five_min","ten_min"
"72","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:04.50",21M 4.5S,21,4.5,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"73","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:04.50",21M 4.5S,21,4.5,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"74","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:04.50",21M 4.5S,21,4.5,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"75","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:04.50",21M 4.5S,21,4.5,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"76","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:04.50",21M 4.5S,21,4.5,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"77","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:04.50",21M 4.5S,21,4.5,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","background",25,30
"78","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:04.50",21M 4.5S,21,4.5,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","background",25,30
"79","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:34.41",21M 34.41S,21,34.41,">1m","100% S","Invertebrate","Cancridae","Cancer ","Cancer","","Crab",33,"CANC",1,"","",25,30
"80","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:58.60",21M 58.6S,21,58.6,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"81","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:58.60",21M 58.6S,21,58.6,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"82","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:58.60",21M 58.6S,21,58.6,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"83","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:58.60",21M 58.6S,21,58.6,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"84","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:21:58.60",21M 58.6S,21,58.6,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"85","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:23:20.57",23M 20.57S,23,20.57,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
